"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Compartment",5,3.60924678731455,0.721849357462909,3.65418225582065,0.300955224886124,0.001
"System",8,2.06209106706314,0.257761383382893,1.30485268658281,0.171946424668126,0.022
"Residuals",32,6.32129921872918,0.197540600585287,NA,0.52709835044575,NA
"Total",45,11.9926370731069,NA,NA,1,NA
