"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Compartment",4,2.80371684879456,0.700929212198639,3.52870169614051,0.266510540026612,0.001
"System",8,1.95591996904736,0.24448999613092,1.2308407882308,0.185922229423333,0.047
"Residuals",29,5.76046061813413,0.198636573039108,NA,0.547567230550054,NA
"Total",41,10.520097435976,NA,NA,1,NA
